RiesgoNormalizado,CiudadNormalizada,MesFecha,Sector,TrabDep,TrabInd,AccTraCal
1,1,1,1,120139,45251,251
1,1,1,2,1389,5042,11
1,1,1,3,195647,6229,502
1,1,1,4,171183,13109,222
1,1,1,5,145374,10402,175
1,1,1,6,38991,442,335
1,1,1,7,3495,89,5
1,1,1,8,470806,22078,611
1,1,1,9,47286,399,57
1,1,1,17,73324,9602,211
1,1,1,17,34691,5372,103
1,1,1,17,25042,559,21
2,1,1,1,18015,863,25
2,1,1,2,24116,757,301
2,1,1,3,131172,3134,660
2,1,1,3,358,21,1
2,1,1,5,6561,261,4
2,1,1,6,60149,636,424
2,1,1,7,62134,842,261
2,1,1,8,107995,1941,540
2,1,1,8,225,3,1
2,1,1,17,16834,2483,122
2,1,1,17,10792,1941,75
2,1,1,17,69245,2383,155
3,1,1,2,3231,245,226
3,1,1,3,3974,845,195
3,1,1,3,5772,462,26
3,1,1,4,4126,356,20
3,1,1,6,7255,53,63
3,1,1,7,207977,519,1436
3,1,1,8,162898,3811,1011
3,1,1,8,73,1,0
3,1,1,8,565,448,1
3,1,1,17,24468,1568,226
3,1,1,17,97802,33127,717
3,1,1,17,36188,2429,251
4,1,1,2,282,48,24
4,1,1,3,25365,1583,140
4,1,1,3,17203,497,71
4,1,1,4,5802,141,16
4,1,1,7,31806,1129,201
4,1,1,8,193629,723,542
4,1,1,8,511,8,6
4,1,1,8,236,2,2
4,1,1,17,1314,53,13
4,1,1,17,160332,37882,899
5,1,1,1,29725,1507,186
5,1,1,2,637,13,7
5,1,1,3,3691,171,23
5,1,1,3,229712,699,1296
5,1,1,7,30235,1087,203
5,1,1,8,118091,5742,739
5,1,1,8,60037,1638,285
5,1,1,17,548,101,1
5,1,1,17,4213,1159,15
5,1,1,17,14067,160,100
1,2,1,1,20471,3682,34
1,2,1,2,1285,565,4
1,2,1,3,80326,880,184
1,2,1,4,46822,6052,75
1,2,1,5,48368,274,78
1,2,1,6,11883,49,64
1,2,1,7,4458,72,5
1,2,1,8,167383,8983,274
1,2,1,9,26081,121,47
1,2,1,17,29906,2225,81
1,2,1,17,11048,3143,31
1,2,1,17,5381,210,4
2,2,1,1,2505,1298,1
2,2,1,2,43315,606,716
2,2,1,3,41928,430,217
2,2,1,3,170,7,0
2,2,1,5,1136,19,5
2,2,1,6,22014,113,160
2,2,1,7,50542,332,231
2,2,1,8,27581,641,210
2,2,1,8,257,3,5
2,2,1,17,7865,427,40
2,2,1,17,5308,603,31
2,2,1,17,12963,256,59
3,2,1,2,7286,20,66
3,2,1,3,16391,197,115
3,2,1,3,3166,213,18
3,2,1,4,3177,68,24
3,2,1,6,1784,7,17
3,2,1,7,8723,1463,818
3,2,1,8,8,1862,62
3,2,1,8,80,0,1
3,2,1,8,63,380,1
3,2,1,17,7832,2602,65
3,2,1,17,47829,7365,389
3,2,1,17,13351,420,138
4,2,1,2,1407,81,27
4,2,1,3,9777,150,79
4,2,1,3,10608,103,75
4,2,1,4,4624,75,41
4,2,1,7,13097,147,125
4,2,1,8,33682,52,165
4,2,1,8,217,4,0
4,2,1,8,158,0,3
4,2,1,17,305,35,5
4,2,1,17,68246,3049,413
5,2,1,1,304,196,35
5,2,1,2,228,0,0
5,2,1,3,581,17,10
5,2,1,3,114644,1818,1046
5,2,1,7,10111,219,103
5,2,1,8,23385,1044,197
5,2,1,8,10323,621,166
5,2,1,17,172,32,4
5,2,1,17,1632,368,11
5,2,1,17,1395,29,7
1,3,1,1,766,646,19
1,3,1,2,209,232,0
1,3,1,3,25266,461,67
1,3,1,4,17557,643,33
1,3,1,5,5907,205,6
1,3,1,6,3956,155,11
1,3,1,7,246,3,0
1,3,1,8,64467,1741,236
1,3,1,9,3437,42,4
1,3,1,17,12602,1103,14
1,3,1,17,4419,623,11
1,3,1,17,143,424,1
2,3,1,1,367,48,0
2,3,1,2,5076,281,93
2,3,1,3,21532,164,147
2,3,1,3,69,1,1
2,3,1,5,141,52,0
2,3,1,6,5359,37,29
2,3,1,7,7058,180,32
2,3,1,8,14193,180,56
2,3,1,8,13,1,0
2,3,1,17,2704,76,29
2,3,1,17,1498,254,10
2,3,1,17,6099,398,27
3,3,1,2,361,6,5
3,3,1,3,9837,210,56
3,3,1,3,949,55,1
3,3,1,4,1267,3,6
3,3,1,6,1038,9,12
3,3,1,7,30128,472,184
3,3,1,8,33419,262,178
3,3,1,8,0,0,0
3,3,1,8,1,0,0
3,3,1,17,4375,90,18
3,3,1,17,28661,1792,166
3,3,1,17,7895,102,50
4,3,1,2,865,8,12
4,3,1,3,348,522,16
4,3,1,3,4624,184,25
4,3,1,4,3219,64,12
4,3,1,7,4893,208,38
4,3,1,8,14714,231,56
4,3,1,8,21,1,0
4,3,1,8,61,0,2
4,3,1,17,97,6,2
4,3,1,17,15895,559,87
5,3,1,1,946,1,7
5,3,1,2,96,2,1
5,3,1,3,118,33,7
5,3,1,3,59233,1313,226
